Roll,PI_Th,PI_Lab,PII_Th,PII_Lab,PIII_Th,PIII_Lab
img_2020001,5.09718254,3.583333333,5.466666667,4,5.038333,1.666666667
img_2020002,0.956031746,0,6.475,4.75,4.9233327,-5
img_2020003,8.18484127,4.916666667,8.7472224,5.5,6.213333,3.333333333
img_2020004,6.014285714,0,4.208333333,1.5,3.9116663,0
img_2020005,3.862956349,4.866666667,7.175,4.6,5.4916663,3.333333333
img_2020006,7.6725,7.6,9.548333333,8.7,10.205952,3
img_2020007,3.876607143,0,6.033333333,1,3.958333,1.666666667
img_2020008,4.951746032,7.6,6.283333333,5.5,4.159999,3
img_2020009,5.919166667,0,4.798333333,1.5,3.285,1.666666667
img_2020010,6.805357143,2.966666667,7.8575,6.7,3.16,6.666666667
img_2020011,7.084444444,5.733333333,7.66,5.5,4.855,3.333333333
img_2020012,6.408670635,4.916666667,8.888889067,8.6,5.98,6.666666667
img_2020013,5.240416667,5.666666667,6.3575,6.3,5.968095,6.666666667
img_2020014,4.289365079,0,5.6575,0,4.4416663,0
img_2020015,-1.111111111,0.733333333,1.3,2.65,0,0
img_2020016,5.238690476,0,7.8,4,4.5,3.333333333
img_2020017,2.825674603,0.75,5.944444267,1,2.9133333,0
img_2020018,6.332619048,3,8.823889067,5.5,3.3733333,3.333333333
img_2020019,5.003392857,0.75,5.775,1,2.83,3.333333333
img_2020020,6.190535714,1.5,6.596389067,5.5,6.113334,3.333333333
img_2020021,6.813095238,1.5,5.108333333,1,0.53,1.666666667
img_2020022,4.14922619,0.75,5.905555733,2.5,3.8233333,1.666666667
img_2020023,5.990019841,3.433333333,6.775,1.5,3.300833,3.333333333
img_2020024,3.764722222,1.5,5.7777776,5.5,4.4273803,3.333333333
img_2020025,5.285853175,1.5,5.185278133,4,2.658333,3.333333333
img_2020026,5.309920635,0.75,6.163889067,5.35,5.408333,2
img_2020027,8.129384921,10.26666667,10.35361093,14.2,15.575,6.666666667
img_2020028,4.69734127,0,7.2972224,1.5,4.18,1.666666667
img_2020029,6.594960317,1.5,5.979444267,4,4.083334,0
img_2020030,7.550238095,1.766666667,7.8972224,5.05,6.889048,2.666666667
img_2020031,8.524126984,3.266666667,7.258333333,9.8,9.516667,2.666666667
img_2020032,8.006746032,0,10.4572224,4,7.956667,0
img_2020033,1.456388889,0,1.353333333,0,0,0
img_2020034,6.831349206,3,5.544444267,5.5,5.185,3.333333333
img_2020035,6.391646825,3,4.9102776,1,0.538333,3.333333333
img_2020036,-1.911289683,0.75,6.508333333,4.3,1.658333,3.333333333
img_2020037,5.535595238,9.583333333,7.175,5.5,5.9416663,3.333333333
img_2020038,6.10109127,0.75,7.438610933,3.25,6.255952,1.666666667
img_2020039,5.450595238,7.25,3.775,8.2,8.256667,9
img_2020040,8.256170635,3.266666667,7.708333333,7.5,7.673334,6.666666667
img_2020041,4.517281746,1.333333333,6.786110933,3.25,4.25,0
img_2020042,4.354503968,1.5,2.494889067,1,3.996667,0
img_2020043,4.77827381,3,5.533333333,5.35,3.5,3.333333333
img_2020044,2.738888889,0.866666667,6.369666133,2.5,4.8699993,3
img_2020045,6.823134921,7.533333333,6.183333333,11.1,5.828333,6.666666667
img_2020046,7.02547619,5.5,7.180166667,8.7,5.88,6.666666667
img_2020047,7.638829365,4.333333333,8.369444267,7.5,5.0980957,3.333333333
img_2020048,2.44281746,0.75,5.6572224,4,-1.306905,3.333333333
img_2020049,5.123253968,2.85,7.027778133,4.9,5.131667,3.333333333
img_2020050,4.342420635,1.2,6.3177776,4.9,4.088333,2.666666667
img_2020051,1.559603175,1.5,5.055555733,1,5.121667,3.333333333
img_2020052,5.408134921,3,6.2777776,4.9,5.565,3.333333333
img_2020053,0.543888889,1.5,7.180555733,5.5,5.1416663,1.666666667
img_2020054,5.128472222,3,8.1027776,5.5,5.199405,3.333333333
img_2020055,6.210277778,4.916666667,7.375,6.65,3.0033333,3.333333333
img_2020056,7.294146825,1.5,8.891666667,7.5,5.025,3.333333333
img_2020057,5.769464286,3,5.15,5.5,0.7466663,3
img_2020058,5.575059524,0.75,7.283333333,4,9.012619,3.333333333
img_2020059,3.588015873,4.333333333,6.7222224,4.9,6.106667,3.333333333
img_2020060,7.933293651,1.8,6.5722224,11,7.5509523,6.666666667
img_2020061,4.226448413,0,6.108333333,2.5,4,-5
img_2020062,8.4925,6.666666667,7.6222224,5.5,5.169524,6.666666667
img_2020063,6.188690476,3.266666667,7.4277776,4.75,3.4516663,3.333333333
img_2020064,4.742857143,4.916666667,5.1752224,9.5,5.98,6.666666667
img_2020065,2.464960317,0,4.7,1.5,3.038333,0
img_2020066,4.022480159,0.6,6.433333333,5.5,3.8,3
img_2020067,1.610138889,0,3.084166667,0,1.3266666,0
img_2020068,3.224285714,3.583333333,7.033333333,5.55,3.753333,6.666666667
img_2020069,0.63625,0,1.2575,0,0,0
img_2020070,4.754761905,4.8,5.45,5.5,6.5316663,3.333333333
img_2020071,10.45353175,7,9.963889067,9,8.6183337,8.333333333
img_2020072,7.567996032,7,8.191666667,4.5,5.3716663,3.333333333
img_2020073,7.7425,3.433333333,8.3474448,5.9,6.3783333,3.333333333
img_2020074,6.988829365,4.333333333,8.386111467,15,6.350476,9.666666667
img_2020075,1.133888889,0,1.211110933,0,0,0
img_2020076,7.551369048,4.333333333,5.3166672,4.1,6.03,6.666666667
img_2020077,6.276190476,3,7.181389067,9.5,6.243333,6.666666667
img_2020078,5.039623016,1.5,6.108333333,5.5,4.285,3.333333333
img_2020079,6.148948413,0,6.206389067,4.5,4.903333,1.666666667
img_2020080,2.407638889,2.833333333,7.115555733,4.9,3.7949993,3.333333333
img_2020081,4.49172619,0.75,6.2527776,3.25,4.34,3.333333333
img_2020082,9.158035714,9.866666667,8.425833333,9.5,15.370001,10
img_2020083,5.899623016,11.2,6.891666667,6.7,3.6116663,6.666666667
img_2020084,6.810376984,6.2,9.055555733,7.2,8.638333,6.666666667
img_2020085,5.751805556,1.5,9.35,4.75,5.0783333,3.333333333
img_2020086,7.830615079,3.266666667,6.905555733,5.5,6.245,3.333333333
img_2020087,9.92077381,4.333333333,7.2472224,8.7,7.461666,9.333333333
img_2020088,7.463650794,7.6,8.982499467,6.3,8.1533333,6.666666667
img_2020089,0.76968254,2.833333333,4.8797224,5.5,3.958333,3
img_2020090,6.957083333,0,5.3477776,1,3.3516663,0
img_2020091,3.32406746,1.766666667,6.480555733,5.5,4.768096,3.333333333
img_2020092,7.573670635,3,6.155555733,4.9,5.394999,3.333333333
img_2020093,5.493769841,4.333333333,5.7547224,5.5,0.495,3.333333333
img_2020094,5.241607143,0.866666667,6.305555733,4.6,6.6242853,3.333333333
img_2020095,6.486011905,0.75,5.852778133,4.75,5.75,0
img_2020096,5.522539683,0.75,6.175,4,5.3616663,0
img_2020097,5.157857143,0,7.175,5.5,6.6116663,3
img_2020098,4.699126984,6.5,6.278610933,5.5,5.193333,6.666666667
img_2020099,7.897123016,1.5,7.863889067,4,6.1916663,1.666666667
img_2020100,3.918214286,0,6.058333333,1.75,4.333333,1.666666667
img_2020101,5.576289683,4.7,6.0472224,7.35,4.7716663,3.333333333
img_2020102,4.696150794,3.266666667,6.2027776,5.5,3.908333,3.333333333
img_2020103,5.171289683,11.2,7.625,8.5,5.353333,6.666666667
